stop_name,stop_code,type,lat,long
After Frankel Terrace (83209),83209,Bus Stop,1.318696,103.914569
After Furama RiverFront (06069) (06069),06069,Bus Stop,1.2862896,103.8349715
After Gambas Avenue (46489),46489,Bus Stop,1.4495121,103.8015512
After Gambas Avenue (47621),47621,Bus Stop,1.4468921,103.80983
After Garden of Remembrance (31141),31141,Bus Stop,1.3741171,103.6933835
After Gardens by the Bay (03349),03349,Bus Stop,1.2798298,103.8650113
After Genting Lane (70311),70311,Bus Stop,1.3233086,103.8789182
After Geylang Road (80119),80119,Bus Stop,1.3100714,103.8759922
After Geylang West Community Club (80309),80309,Bus Stop,1.3172452,103.873014
After Gloucester Road (50321),50321,Bus Stop,1.3136141,103.8507809
After Grace Baptist Church (70241),70241,Bus Stop,1.3252919,103.8819545
After Grandeur 8 (54251),54251,Bus Stop,1.3768787,103.8462146
After Greenwich Drive (64151),64151,Bus Stop,1.3681678,103.9097895
After Grove Avenue (12131),12131,Bus Stop,1.3141206,103.785026
After Gul Avenue (23351),23351,Bus Stop,1.3169519,103.6786756
After Gul Avenue (24089),24089,Bus Stop,1.3145222,103.6707179
After Gul Lane (24209),24209,Bus Stop,1.3153029,103.6599858
After Gul Street 3 (24229),24229,Bus Stop,1.3195497,103.6662039
After Gul Way (23221),23221,Bus Stop,1.3089489,103.6717531
After Gul Way (24299),24299,Bus Stop,1.3121784,103.671728
After HDB Hub (52509),52509,Bus Stop,1.3311346,103.8502091
After Hasanah Mosque (20239),20239,Bus Stop,1.3225075,103.7393668
After Haw Par Glass Tower (08019),08019,Bus Stop,1.2962474,103.8440949
After Heartbeat @ Bedok (84651),84651,Bus Stop,1.327057,103.930691
After Heavy Vehicle Park (58451),58451,Bus Stop,1.4604756,103.8156147
After Hewlett Packard (14209),14209,Bus Stop,1.2817955,103.8096195
After Hillview Station (43279),43279,Bus Stop,1.3620886,103.7658734
After HomeTeamNS Sembawang Resort (58169),58169,Bus Stop,1.4597205,103.8209522
After Hong San Terrace (44101),44101,Bus Stop,1.3770805,103.7465891
After Hortpark (18011),18011,Bus Stop,1.2808446,103.8020496
After Hospital Drive (10017),10017,Bus Stop,1.2781431,103.8373606
After Hougang Avenue 1 (63119),63119,Bus Stop,1.3606005,103.8868941
After Hougang Avenue 3 (64201),64201,Bus Stop,1.3617339,103.8941621
After Hougang Avenue 7 (64211),64211,Bus Stop,1.3618729,103.8975753
After Hume Station Exit 2 (43829),43829,Bus Stop,1.3568421,103.7673668
After Hyll on Holland (11231),11231,Bus Stop,1.3111794,103.8012021
After Infineon (60061),60061,Bus Stop,1.3227416,103.874048
After International Road (22169),22169,Bus Interchange,1.3262611,103.6966966
After Ipoh Lane (82089),82089,Bus Stop,1.3109456,103.8943188
After Irrawaddy Road (50169),50169,Bus Stop,1.3264952,103.8442409
After JTC Aerospace (68189),68189,Bus Stop,1.403739,103.858254
After Jalan Anggerek (70151),70151,Bus Stop,1.3276584,103.8810268
After Jalan Bahtera (33031),33031,Bus Stop,1.4239441,103.7042294
After Jalan Baiduri (92209),92209,Bus Stop,1.3110478,103.9114488
After Jalan Basong (58079),58079,Bus Stop,1.455901,103.8344332
After Jalan Batalong (98081),98081,Bus Stop,1.3619001,103.9645442
After Jalan Belangkas (70139),70139,Bus Stop,1.3321804,103.8832372
After Jalan Bena (97031),97031,Bus Stop,1.3548415,103.9685304
After Jalan Berseri (31179),31179,Bus Stop,1.3722178,103.703252
After Jalan Buloh Perindu (93059),93059,Bus Stop,1.3107401,103.9192968
After Jalan Bumbong (45099),45099,Bus Stop,1.4134753,103.7559035
After Jalan Buroh (21141),21141,Bus Stop,1.3152286,103.7195548
After Jalan Buroh (21291),21291,Bus Stop,1.315856,103.7094749
After Jalan Buroh (22141),22141,Bus Stop,1.3172897,103.6963101
After Jalan Buroh (22399),22399,Bus Stop,1.3134319,103.6960247
After Jalan Buroh (29021),29021,Bus Stop,1.3126322,103.7345009
After Jalan Chempaka Kuning (85051),85051,Bus Stop,1.3294257,103.9488509
After Jalan Chermat (62051),62051,Bus Stop,1.3517868,103.877754
After Jalan Jurong Kechil (42239),42239,Bus Stop,1.3402742,103.7702145
After Jalan Kayu (68019),68019,Bus Stop,1.3910495,103.8706259
After Jalan Kemuning (57139),57139,Bus Stop,1.4379873,103.8255855
After Jalan Lam Huat (49111),49111,Bus Stop,1.4323962,103.7554304
After Jalan Mariam (97109),97109,Bus Stop,1.3628845,103.96716
After Jalan Muhibbah (70121),70121,Bus Stop,1.3319185,103.8811562
After Jalan Naga Sari (41089),41089,Bus Stop,1.3304159,103.8000321
After Jalan Paras (83371),83371,Bus Stop,1.3262104,103.9153966
After Jalan Pesawat (21309),21309,Bus Stop,1.318898,103.710337
After Jalan Remaja (43291),43291,Bus Stop,1.3579565,103.7613695
After Jalan Samulun (22091),22091,Bus Stop,1.308827,103.6965664
After Jalan Selaseh (67061),67061,Bus Stop,1.385861,103.8752939
After Jalan Telawi (64141),64141,Bus Stop,1.3646365,103.9081675
After Jalan Terusan (21041),21041,Bus Stop,1.320817,103.7201029
After Jalan Ulu Sembawang (48041),48041,Bus Stop,1.4126464,103.7889336
After Ji Xiang Court (83129),83129,Bus Stop,1.3130442,103.9106109
After Joo Chiat Place (83139),83139,Bus Stop,1.3145096,103.9099717
After Joo Chiat Place (83291),83291,Bus Stop,1.3147679,103.905897
After Joo Koon Road (24159),24159,Bus Stop,1.326923,103.676661
After Joo Koon Way (24489),24489,Bus Stop,1.325759,103.67108
After Joo Seng Road (70051),70051,Bus Stop,1.3361005,103.8778276
After Jurong Lake (21011),21011,Bus Stop,1.3253325,103.7286588
After Jurong Pier Road (21111),21111,Bus Stop,1.314437,103.7124344
After Jurong Pier Road (22079),22079,Bus Stop,1.313944,103.70805
After Jurong Port Road (21139),21139,Bus Stop,1.3143262,103.718412
After Jurong Town Hall Road (20061),20061,Bus Stop,1.3237695,103.7430362
After Jurong West Street 51 (28379),28379,Bus Stop,1.3451547,103.724016
After KJE Slip Road (44069),44069,Bus Stop,1.385923,103.7570677
After Kallang Bahru (07369),07369,Bus Stop,1.3113267,103.8624655
After Kallang Road (07371),07371,Bus Stop,1.3092781,103.8635497
After Kallang Sector (70359),70359,Bus Stop,1.327691,103.8725387
After Kallang Way 1 (70321),70321,Bus Stop,1.3224854,103.8768089
After Kallang Way 2 (70329),70329,Bus Stop,1.3223567,103.8769178
After Kallang Way 4 (70319),70319,Bus Stop,1.323277,103.8792312
After Kampung Eunos (83029),83029,Bus Stop,1.3177882,103.9065954
After Katong Park Station Exit 2 (91081),91081,Bus Stop,1.299305,103.8853339
After Katong Post Office (92161),92161,Bus Stop,1.3037342,103.896566
After Kempas Road (07249),07249,Bus Stop,1.3153903,103.8594437
After Kheam Hock Road (41019),41019,Bus Stop,1.322654,103.820204
After Kheam Hock Road (41161),41161,Bus Stop,1.3350491,103.8187083
After Kian Teck Road (23059),23059,Bus Stop,1.33072,103.688164
After Kian Teck Road (23061),23061,Bus Stop,1.329491,103.6866604
After Kian Teck Road (23161),23161,Bus Stop,1.327879,103.68868
After Kian Teck Road (23181),23181,Bus Stop,1.3279119,103.694496
After Kim Chuan Road (71051),71051,Bus Stop,1.3414386,103.8919196
After Kim Yam Road (13091) (13091),13091,Bus Stop,1.2959432,103.8393279
After King George's Avenue (07331),07331,Bus Stop,1.3081826,103.858971
After Koon Seng Road (82141),82141,Bus Stop,1.3108979,103.9024812
After Kranji Cresent (49081),49081,Bus Stop,1.4338389,103.7484265
After Kranji Cresent (49179),49179,Bus Stop,1.4346797,103.7505332
After Kranji Link (49149),49149,Bus Stop,1.4374539,103.7450329
After Kranji Road (49189),49189,Bus Stop,1.4364698,103.7537345
After Kranji Water Reclamation Plant (49099),49099,Bus Stop,1.4276434,103.7565759
After Kreta Ayer Road (05259),05259,Bus Stop,1.2797352,103.8426904
After LCS Optiroc Private Limited (49059),49059,Bus Stop,1.4231232,103.7502055
After Lamp Post 161 (32049),32049,Bus Stop,1.4046153,103.7019405
After Lamp Post 234 (45101),45101,Bus Stop,1.4186065,103.7545725
After Lamp Post 93 (32111),32111,Bus Stop,1.3984049,103.6996578
After Lamp Post 96 (32119),32119,Bus Stop,1.398563,103.6999551
After Lantana Avenue (42131),42131,Bus Stop,1.3285655,103.7941958
After Lentor Grove (55331),55331,Bus Stop,1.3869562,103.8371653
After Lentor Station Exit 4 (55019),55019,Bus Stop,1.3820285,103.8360114
After Lentor Street (55371),55371,Bus Stop,1.3885504,103.8343767
After Lim Chu Kang Lane 3 (33049),33049,Bus Stop,1.4266147,103.7056626
After Lim Chu Kang Lane 3A (33059),33059,Bus Stop,1.4294305,103.7066927
After Lim Chu Kang Lane 4 (34019),34019,Bus Stop,1.432505,103.7077823
After Lim Chu Kang Lane 6 (34031),34031,Bus Stop,1.4376276,103.707971
After Lim Chu Kang Lane 8 (34049),34049,Bus Stop,1.4394481,103.7080017
After Lim Chu Kang Lane 8 (34051),34051,Bus Stop,1.4428006,103.7077688
After Lim Chu Kang Road (31151),31151,Bus Stop,1.3736228,103.6959868
After Lim Chu Kang Road (34109),34109,Bus Stop,1.3843132,103.6982029
After Lok Yang Way (22161),22161,Bus Stop,1.3253289,103.6963701
After Lornie Walk (41159),41159,Bus Stop,1.3386985,103.8198931
After Lorong 1 Geylang (80051),80051,Bus Stop,1.312598,103.873367
After Lorong 106 Changi (82069),82069,Bus Stop,1.317134,103.9030372
After Lorong 14 Geylang (80251),80251,Bus Stop,1.310066,103.879902
After Lorong 28 Geylang (81029) (81029),81029,Bus Stop,1.3136302,103.8850201
After Lorong 34 Geylang (81049) (81049),81049,Bus Stop,1.3140524,103.8872045
After Lorong 4 Toa Payoh (52329),52329,Bus Stop,1.331485,103.852592
After Lorong Danau (27179),27179,Bus Stop,1.3563081,103.6916758
After Lorong G Telok Kurau (83141),83141,Bus Stop,1.3176608,103.9084974
After Lorong G Telok Kurau (83299),83299,Bus Stop,1.3157198,103.9058832
After Lorong H Telok Kurau (83131),83131,Bus Stop,1.3162367,103.9090697
After Lorong J Telok Kurau (83319),83319,Bus Stop,1.3127419,103.9071109
After Lorong M Telok Kurau (92201),92201,Bus Stop,1.3111802,103.9112518
After Lorong Nangka (83311),83311,Bus Stop,1.3123162,103.9069814
After Lorong Sarhad (15079),15079,Bus Stop,1.2807531,103.7868173
After Lorong Tanggam (67571),67571,Bus Stop,1.3950503,103.8742447
After Loyang Avenue (97099),97099,Bus Stop,1.373157,103.976361
After Loyang Gardens (78099),78099,Bus Stop,1.3775913,103.9571355
After Loyang Way (98059),98059,Bus Stop,1.3731638,103.9743506
After Loyang Way (98199),98199,Bus Stop,1.3849699,103.9718772
After Loyang Way 1 (98139),98139,Bus Stop,1.3740073,103.9724263
After Lynwood Grove (66061),66061,Bus Stop,1.3440857,103.8634817
After Makepeace Road (40029),40029,Bus Stop,1.3112297,103.8430284
After Mandai Avenue (48069),48069,Bus Stop,1.4159782,103.8020508
After Mandai Estate (45069),45069,Bus Stop,1.4061361,103.7563307
After Mandai Lake Road (48021),48021,Bus Stop,1.4108984,103.7794562
After Mandai Road (45079),45079,Bus Stop,1.4101724,103.7559106
After Maple Avenue (42021),42021,Bus Stop,1.3325668,103.7923702
After Margaret Drive (10321),10321,Bus Stop,1.2942422,103.8158735
After Margaret Drive (10461),10461,Bus Stop,1.2968105,103.81171
After Marina Gardens Drive (03339),03339,Bus Stop,1.2749996,103.8594918
After Marsiling Lane (46131),46131,Bus Stop,1.4461873,103.7770247
After Medway Drive (66291),66291,Bus Stop,1.365962,103.861967
After Meng Suan Road (48101),48101,Bus Stop,1.4023981,103.8144276
After Ministry Of Foreign Affairs (13021),13021,Bus Stop,1.306283,103.8143123
After Moonstone Lane (60181),60181,Bus Stop,1.327136,103.86742
After Mount Sinai Lane (12139),12139,Bus Stop,1.3146043,103.7849881
After Muhajirin Mosque (52039),52039,Bus Stop,1.3433835,103.8512224
After Munshi Abdullah Avenue (56201),56201,Bus Stop,1.3806045,103.832264
After Muslim Cemetery Path 17 (31211),31211,Bus Stop,1.3820081,103.6968731
After NEA Regional Office (53209),53209,Bus Stop,1.3609029,103.8385046
After Nanyang Avenue (31011),31011,Bus Stop,1.3587719,103.6939046
After National University of Singapore High School (17129),17129,Bus Stop,1.3051693,103.7698589
After Neo Tiew Road (33029),33029,Bus Stop,1.420808,103.7030244
After Neo Tiew Road (49249),49249,Bus Stop,1.4376095,103.7258126
After Neythal Road (22219),22219,Bus Stop,1.327711,103.702592
After Nirvana Memorial Garden (31129),31129,Bus Stop,1.3700432,103.6875199
After Northshore Cresent (65689),65689,Bus Stop,1.4184023,103.9078546
After Ocean Tanker (24621),24621,Bus Stop,1.3079837,103.6498385
After Old Airport Road (81191),81191,Bus Stop,1.3091189,103.8917858
After Old Choa Chu Kang Road (32121),32121,Bus Stop,1.3728657,103.6851515
After Old Jurong Road (43021),43021,Bus Stop,1.3512932,103.7697758
After Old Lim Chu Kang Road (34101),34101,Bus Stop,1.3843977,103.6979149
After Old Pier Road (99071),99071,Bus Stop,1.38764,103.9781839
After Old Tampines Road (64189),64189,Bus Stop,1.376935,103.913928
After Old Toh Tuck Road (28701),28701,Bus Stop,1.3314887,103.7577493
After Old Upper Thomson Road (56079),56079,Bus Stop,1.387578,103.8195842
After One Tree Hill (13181),13181,Bus Stop,1.3002128,103.8240594
After Orchard Station Exit 12 (13199),13199,Bus Stop,1.3023274,103.8300067
After Padang Jeringau (80011),80011,Bus Stop,1.309761,103.8673341
After Pakistan Road (58209),58209,Bus Stop,1.4552032,103.8306286
After Palm Green Condominium (16081),16081,Bus Stop,1.2919847,103.7686004
After Pan Island Expressway (43459),43459,Bus Stop,1.3477407,103.737976
After Pandan Gardens (20261),20261,Bus Stop,1.3215949,103.7454655
After Pandan Road (29069),29069,Bus Stop,1.3029935,103.7460627
After Pandan Road (29169),29169,Bus Stop,1.3044544,103.7499636
After Pandan Valley (12041),12041,Bus Stop,1.3205101,103.7766216
After Parbury Avenue (94041),94041,Bus Stop,1.3161344,103.9442344
After Pasir Panjang Station (15201),15201,Bus Stop,1.2768496,103.7896466
After Pasir Ris Avenue (77091),77091,Bus Stop,1.3804265,103.9453903
After Pasir Ris Drive 3 (77081),77081,Bus Stop,1.3802471,103.9426703
After Pasir Ris Drive 3 (98031),98031,Bus Stop,1.3671895,103.9678401
After Pasir Ris Industrial Drive 1 (77279),77279,Bus Stop,1.3808297,103.9346675
After Pasir Ris Road (77109),77109,Bus Stop,1.3805314,103.9482204
After Pasir Ris Station Exit A (77171),77171,Bus Stop,1.3730147,103.9508602
After Pasir Ris Street 53 (77321),77321,Bus Stop,1.3731256,103.9480836
