month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,latitude,longitude
2017-01,BEDOK,4 ROOM,8,BEDOK STH AVE 2,13 TO 15,82,Improved,1976,58 years,375000,8 BEDOK STH AVE 2,1.32284176978435,103.936046815062
2017-01,BEDOK,4 ROOM,80,BEDOK NTH RD,01 TO 03,91,New Generation,1978,60 years 05 months,380000,80 BEDOK NTH RD,1.32848132017235,103.940611608837
2017-01,BEDOK,4 ROOM,78,BEDOK NTH RD,04 TO 06,91,New Generation,1978,60 years 07 months,382000,78 BEDOK NTH RD,1.32726007220341,103.940848770214
2017-01,BEDOK,4 ROOM,135,BEDOK RESERVOIR RD,07 TO 09,84,Simplified,1987,69 years 02 months,384000,135 BEDOK RESERVOIR RD,1.33314106418951,103.912523538101
2017-01,BEDOK,4 ROOM,148,BEDOK RESERVOIR RD,13 TO 15,84,Simplified,1987,69 years 03 months,385000,148 BEDOK RESERVOIR RD,1.33534088461813,103.91190498709
2017-01,BEDOK,4 ROOM,81,BEDOK NTH RD,01 TO 03,91,New Generation,1978,60 years 05 months,390000,81 BEDOK NTH RD,1.32891558225172,103.940528728774
2017-01,BEDOK,4 ROOM,142,BEDOK RESERVOIR RD,07 TO 09,84,Simplified,1986,68 years 10 months,392000,142 BEDOK RESERVOIR RD,1.33563649761465,103.913269358016
2017-01,BEDOK,4 ROOM,142,BEDOK RESERVOIR RD,07 TO 09,84,Simplified,1986,68 years 10 months,395000,142 BEDOK RESERVOIR RD,1.33563649761465,103.913269358016
2017-01,BEDOK,4 ROOM,124,BEDOK NTH RD,07 TO 09,92,New Generation,1978,60 years 04 months,395000,124 BEDOK NTH RD,1.32925881944574,103.939046430321
2017-01,BEDOK,4 ROOM,705,BEDOK NTH RD,01 TO 03,91,New Generation,1980,62 years 10 months,410000,705 BEDOK NTH RD,1.33663681806047,103.918995255673
2017-01,BEDOK,4 ROOM,554,BEDOK NTH ST 3,04 TO 06,93,New Generation,1980,62 years 05 months,412000,554 BEDOK NTH ST 3,1.33262715051315,103.928172121608
2017-01,BEDOK,4 ROOM,602,BEDOK RESERVOIR RD,07 TO 09,98,New Generation,1982,64 years 04 months,420000,602 BEDOK RESERVOIR RD,1.32934898685946,103.911583237057
2017-01,BEDOK,4 ROOM,81,BEDOK NTH RD,13 TO 15,91,New Generation,1978,60 years 05 months,425000,81 BEDOK NTH RD,1.32891558225172,103.940528728774
2017-01,BEDOK,4 ROOM,508,BEDOK NTH AVE 3,10 TO 12,92,New Generation,1978,60 years 10 months,430000,508 BEDOK NTH AVE 3,1.33340012199511,103.932519441614
2017-01,BEDOK,4 ROOM,720,BEDOK RESERVOIR RD,04 TO 06,104,Model A,1984,66 years 01 month,430000,720 BEDOK RESERVOIR RD,1.33597277354753,103.924883020541
