school_name,school_type,lat,long
Loyang View Secondary School,School,1.3664748,103.9575471
MADDspace,School,1.3010033,103.8357575
MDIS,College/JC,1.2969709,103.8012557
MINDS Fernvale Gardens School,School,1.3899033,103.8750521
MINDS Woodlands Garden,School,1.4372158,103.7978466
MMI Preschool,School,1.3556192,103.8323066
MOE School Cluster Centre,School,1.2879336,103.8100388
MacPherson Primary School,School,1.3245401,103.8816058
Madrasah Al-Arabiah Al-Islamiah,School,1.337359,103.8546828
Madrasah Al-Ma'arif Al-Islamiah,School,1.3152813,103.8905462
Madrasah Aljunied Al-Islamiah,School,1.3046432,103.8576709
Madrasah Alsagoff Al-Arabiah Arab School,College/JC,1.3035269,103.860633
Madrasah At-Tahzibiah Al-Islamiah,School,1.406648,103.8204181
Madrasah Wak Tanjong Al-Islamiah,School,1.3170795,103.8913678
Maha Bodhi School,School,1.3284631,103.90163
Manjusri Secondary School,School,1.3275617,103.9017118
Maple Bear,School,1.3229517,103.905807
Maris Stella High School,School,1.3418992,103.8783828
Marsiling Primary School,School,1.4342342,103.77332
Marsiling Secondary School,School,1.4375279,103.7759416
Marymount Convent School,School,1.3403941,103.8396497
Maya Angelou House (UWCSEA Dover Campus),School,1.3033535,103.7751337
Mayflower Primary School,School,1.3765506,103.843232
Mayflower Secondary School,School,1.3687594,103.8357596
Mee Toh School,School,1.3948921,103.9088373
Melbourne Specialist International School,School,1.3016373,103.812455
Meridian Primary School,School,1.3758964,103.935007
Meridian Secondary School,School,1.3676237,103.948937
Methodist Girls' School,School,1.3328567,103.7836933
Methodist School of Music,School,1.3616483,103.7684999
Millennia Institute,College/JC,1.3508482,103.741288
MindChamps PreSchool @ Biopolis,School,1.3016693,103.7934627
Minds - Towner Gardens School,School,1.3261743,103.9133277
Ministry Of Education Language Centre (Newton),School,1.3096843,103.8371493
Ministry of Education (Ghim Moh),School,1.3108244,103.7864624
Monfort Secondary School,School,1.3739512,103.889047
Montessori for Children,School,1.2996991,103.8906987
Montfort Junior School,School,1.374336,103.8894116
Muz Art,School,1.3967425,103.8866876
NAFA Campus 1,College/JC,1.2997335,103.8515193
NAFA Campus 3,College/JC,1.3012916,103.8520414
NPS International School,School,1.3071636,103.8325514
NTU FACTS @ ABN,School,1.3467748,103.6819359
NTU FACTS @ N4.1,School,1.3463868,103.682934
NTU@one-north,University,1.3037772,103.7898742
NUS College,University,1.3071277,103.7722542
NUS High School of Mathematics and Science,School,1.3067483,103.7699117
NYGH Boarding School,School,1.3318157,103.8007102
Nan Chiau High School,School,1.3893207,103.8900465
Nan Chiau Primary School,School,1.3920268,103.8910425
Nan Hua High School,School,1.3084262,103.7690587
Nan Hua Primary School,School,1.3195667,103.7615818
Nanyang Girls' High School,School,1.3304736,103.8022612
Nanyang Institute Of Management,College/JC,1.2868137,103.8474783
Nanyang Junior College,College/JC,1.3510946,103.8666521
Nanyang Polytechnic,School,1.3800986,103.8490994
Nanyang Primary School,School,1.320928,103.8080203
Nanyang Technological University,University,1.3483213,103.6830404
National Community Leadership Institute,School,1.283163,103.7886096
"National Institute of Education, Singapore",College/JC,1.3487577,103.6784309
National Junior College,School,1.3306634,103.8046769
National University of Singapore,University,1.2962828,103.7773116
National University of Singapore (Bukit Timah),University,1.3196738,103.8185226
Naval Base Primary School,School,1.4164252,103.8386665
Naval Base Secondary School,School,1.4192025,103.8309864
Nelson Mandela House (UWCSEA Dover Campus),School,1.3029402,103.7751516
New Town Primary School,School,1.2997615,103.7996854
New Town Secondary School,School,1.3098808,103.7735372
Nexus International School (Singapore),School,1.3209192,103.8796096
Ngee Ann Polytechnic,University,1.3330938,103.7741758
Ngee Ann Primary School,School,1.3055831,103.9179261
Ngee Ann Secondary School,School,1.3544736,103.9566248
North London Collegiate School (NLCS Singapore),School,1.2825839,103.8092475
North Spring Primary School,School,1.3874499,103.9036578
North View Primary School,School,1.4277067,103.8486568
North View Secondary School,School,1.4277064,103.844226
North Vista Primary School,School,1.3829244,103.8959909
North Vista Secondary School,School,1.3817054,103.8986513
Northbrooks Secondary School,School,1.4212669,103.8447792
Northland Primary School,School,1.4212115,103.8405822
Northland Secondary School,School,1.4359086,103.8408429
Northlight School,School,1.3195282,103.8556148
Northoarks Primary School,School,1.4569529,103.8135196
Northshore Primary School,School,1.4181645,103.9046861
Oasis Primary School,School,1.4047961,103.9109763
Odyssey The Global Preschool,School,1.307039,103.9095846
Olympiad International School,School,1.3089,103.8766197
One World International School,School,1.3479915,103.6943225
One World International School (Changi Campus),School,1.3422436,103.9624893
Opera Estate Primary School,School,1.3196822,103.9241452
Orchid Park Secondary School,School,1.4158041,103.8382112
Outram Secondary School,School,1.2863263,103.8371997
Overseas Family School,School,1.3809127,103.9420528
PCF Sparkletots Preschool @ Punggol North,School,1.4018601,103.910405
PSB Academy Cathay Campus,School,1.2993145,103.8477978
PSB Academy STEM Campus,School,1.3373271,103.8484435
Palm View Primary School,School,1.3840428,103.8912344
ParkView Primary School,School,1.3776046,103.939255
Pasir Ris Crest Secondary School,School,1.3728071,103.9597854
Pasir Ris Primary School,School,1.3723752,103.9630289
Pasir Ris Secondary School,School,1.3543602,103.948497
Pat's Schoolhouse,School,1.3629647,103.8874226
Pathlight School (Tampines Campus),School,1.3471222,103.9394783
Pathlight School Autism Resource Centre (Singapore),School,1.3594245,103.8544732
Pathlight School Campus 2,School,1.3641061,103.85848
Paya Lebar Methodist Girls' Primary School,School,1.3500231,103.8852518
Paya Lebar Methodist Girls' Secondary School,School,1.3503993,103.8853401
Pei Chun Public School,School,1.337116,103.8556841
Pei Hwa Presbyterian Primary School,School,1.3382004,103.7761514
Pei Hwa Secondary School,School,1.3907839,103.8781431
Pei Tong Primary School,School,1.3163012,103.7677644
Peicai Secondary School,School,1.3593467,103.8707615
Peirce Secondary School,School,1.3663028,103.8295307
Peiying Primary School,School,1.4178033,103.8304738
Pioneer Primary School,School,1.35461,103.733017
Play Facto School,School,1.4167637,103.902145
Poi Ching School,School,1.3579253,103.9354991
Presbyterian High School,School,1.3827354,103.8427457
Princess Elizabeth Primary School,School,1.3491794,103.7409589
Pro-Teach Education,School,1.3373631,103.719728
Punggol Cove Primary School,School,1.4117445,103.8992413
Punggol Green Primary School,School,1.4019415,103.898479
Punggol Primary School,School,1.3777795,103.894746
Punggol Secondary School,School,1.402324,103.9090566
Punggol View Primary School,School,1.4053236,103.9054113
Qifa Primary School,School,1.3129445,103.75696
Qihua Primary School,School,1.4420658,103.7881756
Quayside Isle Preparatory School,School,1.2470486,103.8423226
Queenstown Primary School,School,1.2960934,103.8078562
Queenstown Secondary School,School,1.293269,103.8132046
Queensway Secondary School,School,1.3003138,103.8021125
Radin Mas Primary School,School,1.2750248,103.824279
Raffles Girls' Primary School,School,1.3300628,103.8062736
Raffles Girls' School (Secondary),School,1.3430732,103.8431868
Raffles Institution,School,1.3467456,103.8435516
Rainbow Centre - Yishun Park School,School,1.4201343,103.837259
Rainbow Centre Admiral Hill School,School,1.4569948,103.8178798
Rainbow Centre-Margaret Drive School,School,1.2973354,103.8090519
Raymond Studio,School,1.3061535,103.9049886
Red Swastika School,School,1.3336291,103.9346312
Regent Secondary School,School,1.393446,103.7509899
Republic Polytechnic,University,1.4447459,103.7852269
River Valley High School,School,1.3435696,103.7093769
River Valley Primary School,School,1.2942807,103.8361226
Riverside Primary School,School,1.4473353,103.801834
Riverside Secondary School,School,1.4409612,103.788064
Rivervale Primary School,School,1.3936298,103.9045274
Rosyth School,School,1.3728674,103.8744848
Rulang Primary School,School,1.3467144,103.7185856
SAFTI Military Institute,School,1.3304504,103.6834422
SHATEC,School,1.3436952,103.7500682
SIM University,College/JC,1.3260038,103.7999874
SJIJ,School,1.3176739,103.8460419
SMF Institute of Higher Learning,University,1.2821109,103.8219548
SMU Prinsep Street Residences,University,1.3021856,103.8510388
SP Jain Center of Management,School,1.2801106,103.8014479
Saga College,College/JC,1.3073508,103.7722689
Saint Anthony's Primary School,School,1.3644984,103.7492453
Saint Joseph's Institution International,School,1.3329313,103.840583
Saint Joseph's Institution Junior,School,1.3174614,103.8463093
Saint Patrick's School,School,1.3086215,103.9168599
San Yu Adventist School,School,1.3217527,103.841109
School of Accountancy,College/JC,1.2959083,103.849593
School of Computing and Information Systems 1,College/JC,1.2976084,103.8495341
School of Economics,College/JC,1.2976487,103.8490539
School of Economics / School of Computing and Information Systems 2,College/JC,1.2980482,103.8487401
School of Law,College/JC,1.2949618,103.8492899
